tweet_id,favorite_count,retweet_count,date_time
699779630832685056,2978,1368,2016-02-17 02:17:19
699788877217865730,2418,544,2016-02-17 02:54:04
699801817392291840,3282,1065,2016-02-17 03:45:29
700002074055016451,3554,1485,2016-02-17 17:01:14
700029284593901568,2222,640,2016-02-17 18:49:22
700062718104104960,2838,763,2016-02-17 21:02:13
700143752053182464,8112,3046,2016-02-18 02:24:13
700151421916807169,2408,733,2016-02-18 02:54:41
700167517596164096,2851,823,2016-02-18 03:58:39
700462010979500032,4458,1987,2016-02-18 23:28:52
700505138482569216,2448,628,2016-02-19 02:20:14
700518061187723268,2833,882,2016-02-19 03:11:35
700747788515020802,24631,10355,2016-02-19 18:24:26
700796979434098688,2620,1056,2016-02-19 21:39:54
700847567345688576,2609,551,2016-02-20 01:00:55
700864154249383937,2784,672,2016-02-20 02:06:50
700890391244103680,2388,636,2016-02-20 03:51:05
701214700881756160,13193,5663,2016-02-21 01:19:47
701545186879471618,2845,667,2016-02-21 23:13:01
701570477911896070,3028,1031,2016-02-22 00:53:31
701601587219795968,2244,510,2016-02-22 02:57:08
701889187134500865,3833,1519,2016-02-22 21:59:57
701952816642965504,4101,1122,2016-02-23 02:12:47
701981390485725185,3695,1087,2016-02-23 04:06:20
702217446468493312,5173,1477,2016-02-23 19:44:20
702276748847800320,2655,839,2016-02-23 23:39:59
702321140488925184,3539,1138,2016-02-24 02:36:23
702539513671897089,3082,1062,2016-02-24 17:04:07
702598099714314240,11126,3620,2016-02-24 20:56:55
702671118226825216,2352,618,2016-02-25 01:47:04
702684942141153280,3457,1189,2016-02-25 02:42:00
702932127499816960,2784,799,2016-02-25 19:04:13
703041949650034688,28434,13835,2016-02-26 02:20:37
703079050210877440,7929,3402,2016-02-26 04:48:02
703268521220972544,2111,610,2016-02-26 17:20:56
703356393781329922,2048,425,2016-02-26 23:10:06
703382836347330562,3769,1260,2016-02-27 00:55:11
703407252292673536,2646,765,2016-02-27 02:32:12
703425003149250560,4088,1525,2016-02-27 03:42:44
703611486317502464,4149,1672,2016-02-27 16:03:45
703631701117943808,2790,760,2016-02-27 17:24:05
703769065844768768,3548,1251,2016-02-28 02:29:55
703774238772166656,1982,514,2016-02-28 02:50:28
704054845121142784,3146,1007,2016-02-28 21:25:30
704113298707505153,1996,618,2016-02-29 01:17:46
704347321748819968,1699,386,2016-02-29 16:47:42
704364645503647744,8641,3911,2016-02-29 17:56:32
704480331685040129,3654,1168,2016-03-01 01:36:14
704499785726889984,3158,1100,2016-03-01 02:53:32
704761120771465216,7143,3191,2016-03-01 20:11:59
704819833553219584,2841,1113,2016-03-02 00:05:17
704847917308362754,5492,1694,2016-03-02 01:56:53
704859558691414016,2421,600,2016-03-02 02:43:09
704871453724954624,4525,1226,2016-03-02 03:30:25
705066031337840642,2333,665,2016-03-02 16:23:36
705102439679201280,2311,570,2016-03-02 18:48:16
705223444686888960,2766,883,2016-03-03 02:49:06
705239209544720384,3216,826,2016-03-03 03:51:44
705428427625635840,4101,1873,2016-03-03 16:23:38
705442520700944385,4783,1819,2016-03-03 17:19:38
705475953783398401,3179,1021,2016-03-03 19:32:29
